Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-23 00:00:00-04:00,45.55704323482544,45.86286270783862,45.289455297252665,45.779239654541016,63957600,0.0,0.0
2018-07-24 00:00:00-04:00,45.97993346814029,46.269026890233604,45.88436738323689,46.1113395690918,74791600,0.0,0.0
2018-07-25 00:00:00-04:00,46.12566979734312,46.55333655442173,45.97514976438547,46.54616928100586,66839600,0.0,0.0
2018-07-26 00:00:00-04:00,46.495987203078194,46.81852903708609,46.257068406216504,46.400421142578125,76304000,0.0,0.0
2018-07-27 00:00:00-04:00,46.58678232266592,46.63456535784965,45.418469431205914,45.62871551513672,96096000,0.0,0.0
2018-07-30 00:00:00-04:00,45.848523546933535,45.92019992744498,45.17238644363577,45.373077392578125,84118000,0.0,0.0
2018-07-31 00:00:00-04:00,45.46625489433737,45.9058646744824,45.23689120935051,45.463863372802734,157492000,0.0,0.0
2018-08-01 00:00:00-04:00,47.57591434037567,48.20426847084562,47.1410802599625,48.14215087890625,271742800,0.0,0.0
2018-08-02 00:00:00-04:00,47.92233705589649,49.785904569462474,47.86738674840858,49.549373626708984,249616000,0.0,0.0
2018-08-03 00:00:00-04:00,49.46336246651851,49.87191524827437,49.0930375704872,49.692726135253906,133789600,0.0,0.0
2018-08-06 00:00:00-04:00,49.695114998147666,49.993763525780764,49.47292224348236,49.95075988769531,101701600,0.0,0.0
2018-08-07 00:00:00-04:00,50.01049516996017,50.05349881284101,49.3988598548493,49.48248291015625,102349600,0.0,0.0
2018-08-08 00:00:00-04:00,49.22923208612177,49.64972796947083,48.86368652008473,49.515933990478516,90102000,0.0,0.0
2018-08-09 00:00:00-04:00,50.060664593742096,50.12039430414799,49.50398325528566,49.90536880493164,93970400,0.0,0.0
2018-08-10 00:00:00-04:00,49.7159594736816,50.13313753274556,49.55052673201145,49.756717681884766,98444800,0.1825,0.0
2018-08-13 00:00:00-04:00,50.18347739607064,50.57667826205868,49.797468938855786,50.07798385620117,103563600,0.0,0.0
2018-08-14 00:00:00-04:00,50.38728736699986,50.48318861869382,49.931747275457916,50.28898620605469,82992000,0.0,0.0
